Region,Sample,Classification,Mean,Std,Variance,Zero %,NaN %,Inf %,Min,Max,Unique Values
addis_ababa,sample_020,VALID,25366.458984375,15390.7119140625,236874000.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69350
addis_ababa,sample_021,VALID,22554.544921875,15497.134765625,240161200.0,0.0014361213235294116,0.0,0.0,0.0,49918.203125,69281
addis_ababa,sample_022,VALID,21855.25390625,15782.7734375,249095952.0,0.0014361213235294116,0.0,0.0,0.0,49919.1484375,69223
addis_ababa,sample_023,VALID,21767.8125,15937.2353515625,253995456.0,0.0,0.0,0.0,32.46088409423828,50565.11328125,69231
addis_ababa,sample_024,VALID,25688.015625,15098.1240234375,227953360.0,0.0,0.0,0.0,384.96954345703125,53155.02734375,69373
addis_ababa,sample_025,VALID,25529.681640625,15462.7890625,239097856.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69335
addis_ababa,sample_026,VALID,24206.279296875,15905.5439453125,252986336.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69295
addis_ababa,sample_027,VALID,21906.9296875,15888.3955078125,252441120.0,0.0014361213235294116,0.0,0.0,0.0,48924.0,69213
addis_ababa,sample_028,VALID,21774.078125,16059.646484375,257912256.0,0.0014361213235294116,0.0,0.0,0.0,50120.09375,69207
addis_ababa,sample_029,VALID,21803.373046875,16332.509765625,266750880.0,0.0,0.0,0.0,18.667537689208984,50645.265625,69211
addis_ababa,sample_030,VALID,24126.24609375,15440.408203125,238406208.0,0.0,0.0,0.0,129.35203552246094,51217.52734375,69339
addis_ababa,sample_031,VALID,23793.5390625,15815.6826171875,250135824.0,0.0,0.0,0.0,4264.45849609375,51217.52734375,69301
addis_ababa,sample_032,VALID,22791.787109375,16039.400390625,257262352.0,0.0,0.0,0.0,18.667537689208984,51217.52734375,69261
addis_ababa,sample_033,VALID,21639.58203125,16095.2294921875,259056400.0,0.0,0.0,0.0,18.667537689208984,48985.546875,69188
addis_ababa,sample_034,VALID,21578.73828125,16239.330078125,263715840.0,0.0,0.0,0.0,18.667537689208984,50120.09375,69170
addis_ababa,sample_035,VALID,21607.193359375,16640.4375,276904192.0,0.0,0.0,0.0,18.667537689208984,50645.265625,69149
adilabad,sample_000,VALID,20478.01171875,16893.2265625,285381088.0,0.0,0.0,0.0,7870.06005859375,48827.625,68671
adilabad,sample_001,VALID,20462.5,16871.970703125,284663424.0,0.0,0.0,0.0,7923.02783203125,48690.8046875,68649
adilabad,sample_002,VALID,20450.626953125,16855.990234375,284124384.0,0.0,0.0,0.0,7923.02783203125,48312.9765625,68693
adilabad,sample_003,VALID,20404.06640625,16831.1171875,283286528.0,0.0,0.0,0.0,7923.02783203125,48312.9765625,68669
adilabad,sample_004,VALID,20293.3125,16782.048828125,281637152.0,0.0,0.0,0.0,7940.27880859375,48312.9765625,68545
adilabad,sample_005,VALID,20214.984375,16734.041015625,280028128.0,0.0,0.0,0.0,7960.4921875,48312.9765625,68462
adilabad,sample_006,VALID,20439.150390625,16881.728515625,284992768.0,0.0,0.0,0.0,7526.9736328125,49009.8828125,68752
adilabad,sample_007,VALID,20441.544921875,16814.646484375,282732320.0,0.0,0.0,0.0,7526.9736328125,48690.8046875,68700
adilabad,sample_008,VALID,20497.34375,16798.578125,282192224.0,0.0,0.0,0.0,7760.8935546875,48312.9765625,68754
adilabad,sample_009,VALID,20493.609375,16784.0078125,281702944.0,0.0,0.0,0.0,7760.8935546875,48312.9765625,68758
adilabad,sample_010,VALID,20388.708984375,16753.263671875,280671840.0,0.0,0.0,0.0,7760.8935546875,48312.9765625,68682
adilabad,sample_011,VALID,20282.51171875,16742.859375,280323328.0,0.0,0.0,0.0,7760.8935546875,48312.9765625,68638
adilabad,sample_012,VALID,20430.98828125,16826.37890625,283127008.0,0.0,0.0,0.0,7526.9736328125,49009.8828125,68763
adilabad,sample_013,VALID,20488.4921875,16743.1484375,280332992.0,0.0,0.0,0.0,7526.9736328125,48690.8046875,68750
adilabad,sample_014,VALID,20555.556640625,16717.296875,279468032.0,0.0,0.0,0.0,7540.97216796875,48256.9765625,68759
adilabad,sample_015,VALID,20606.966796875,16721.5390625,279609888.0,0.0,0.0,0.0,7760.8935546875,48320.109375,68791
adilabad,sample_016,VALID,20527.26953125,16738.107421875,280164256.0,0.0,0.0,0.0,7754.341796875,48320.109375,68751
adilabad,sample_017,VALID,20414.669921875,16764.890625,281061536.0,0.0,0.0,0.0,7754.341796875,48320.109375,68730
adilabad,sample_018,VALID,20410.33984375,16807.376953125,282487936.0,0.0,0.0,0.0,7526.9736328125,49009.8828125,68766
adilabad,sample_019,VALID,20472.345703125,16718.173828125,279497312.0,0.0,0.0,0.0,7526.9736328125,48473.71875,68813
adilabad,sample_020,VALID,20556.8359375,16703.51953125,279007584.0,0.0,0.0,0.0,7540.97216796875,48213.640625,68860
adilabad,sample_021,VALID,20634.353515625,16724.5703125,279711232.0,0.0,0.0,0.0,7708.86083984375,48320.109375,68853
adilabad,sample_022,VALID,20600.115234375,16760.9453125,280929280.0,0.0,0.0,0.0,7708.86083984375,48320.109375,68803
adilabad,sample_023,VALID,20489.3828125,16810.455078125,282591392.0,0.0,0.0,0.0,7754.341796875,48320.109375,68792
adilabad,sample_024,VALID,20390.787109375,16804.59765625,282394496.0,0.0,0.0,0.0,7526.9736328125,49009.8828125,68733
adilabad,sample_025,VALID,20475.212890625,16734.408203125,280040448.0,0.0,0.0,0.0,7526.9736328125,48359.6484375,68798
adilabad,sample_026,VALID,20586.400390625,16744.955078125,280393504.0,0.0,0.0,0.0,7540.97216796875,48359.6484375,68847
adilabad,sample_027,VALID,20677.275390625,16779.16796875,281540448.0,0.0,0.0,0.0,7648.71484375,48359.6484375,68848
adilabad,sample_028,VALID,20642.1484375,16822.814453125,283007104.0,0.0,0.0,0.0,7708.86083984375,48359.6484375,68845
